Tiempo,ID,PosX,PosY,Masa,Activa
0,1,10,10,2,1
0,2,90,10,3,1
0,3,10,90,1.5,1
0,4,90,90,2.5,1
0.01,1,10.15,10.12,2,1
0.01,2,89.88,10.14,3,1
0.01,3,10.11,89.85,1.5,1
0.01,4,89.86,89.89,2.5,1
0.02,1,10.3,10.24,2,1
0.02,2,89.76,10.28,3,1
0.02,3,10.22,89.7,1.5,1
0.02,4,89.72,89.78,2.5,1
0.03,1,10.45,10.36,2,1
0.03,2,89.64,10.42,3,1
0.03,3,10.33,89.55,1.5,1
0.03,4,89.58,89.67,2.5,1
0.04,1,10.6,10.48,2,1
0.04,2,89.52,10.56,3,1
0.04,3,10.44,89.4,1.5,1
0.04,4,89.44,89.56,2.5,1
0.05,1,10.75,10.6,2,1
0.05,2,89.4,10.7,3,1
0.05,3,10.55,89.25,1.5,1
0.05,4,89.3,89.45,2.5,1
0.06,1,10.9,10.72,2,1
0.06,2,89.28,10.84,3,1
0.06,3,10.66,89.1,1.5,1
0.06,4,89.16,89.34,2.5,1
0.07,1,11.05,10.84,2,1
0.07,2,89.16,10.98,3,1
0.07,3,10.77,88.95,1.5,1
0.07,4,89.02,89.23,2.5,1
0.08,1,11.2,10.96,2,1
0.08,2,89.04,11.12,3,1
0.08,3,10.88,88.8,1.5,1
0.08,4,88.88,89.12,2.5,1
0.09,1,11.35,11.08,2,1
0.09,2,88.92,11.26,3,1
0.09,3,10.99,88.65,1.5,1
0.09,4,88.74,89.01,2.5,1
0.1,1,11.5,11.2,2,1
0.1,2,88.8,11.4,3,1
0.1,3,11.1,88.5,1.5,1
0.1,4,88.6,88.9,2.5,1
0.11,1,11.65,11.32,2,1
0.11,2,88.68,11.54,3,1
0.11,3,11.21,88.35,1.5,1
0.11,4,88.46,88.79,2.5,1
0.12,1,11.8,11.44,2,1
0.12,2,88.56,11.68,3,1
0.12,3,11.32,88.2,1.5,1
0.12,4,88.32,88.68,2.5,1
0.13,1,11.95,11.56,2,1
0.13,2,88.44,11.82,3,1
0.13,3,11.43,88.05,1.5,1
0.13,4,88.18,88.57,2.5,1
0.14,1,12.1,11.68,2,1
