Ranking;Pais;Etapa;Pts;GD;Ranking_FIFA
1;Canada;Campeon;6;2;30
2;Japan;Subcampeon;4;1;17
3;Denmark;Tercer Puesto;6;-1;20
4;Croatia;Semifinalistas;4;2;14
5;Germany;Cuartos;9;5;9
6;Korea Republic;Cuartos;7;5;23
7;Belgium;Cuartos;5;1;8
8;Egypt;Cuartos;5;2;29
9;Australia;Octavos;9;8;25
10;Cameroon;Octavos;9;5;45
11;Austria;Octavos;7;7;22
12;Cabo Verde;Octavos;7;5;59
13;Senegal;Octavos;6;1;19
14;Argentina;Octavos;4;-2;3
15;Brazil;Octavos;3;-1;6
16;Uruguay;Octavos;3;-4;12
17;Morocco;Dieciseisavos;9;5;11
18;Tunisia;Dieciseisavos;9;3;37
19;Uzbekistan;Dieciseisavos;7;5;47
20;Italy;Dieciseisavos;6;1;10
21;Colombia;Dieciseisavos;6;1;13
22;Panama;Dieciseisavos;6;0;32
23;Saudi Arabia;Dieciseisavos;5;2;51
24;United States;Dieciseisavos;4;1;16
25;Nigeria;Dieciseisavos;4;1;34
26;Costa Rica;Dieciseisavos;4;-2;36
27;Czech Republic;Dieciseisavos;4;-3;41
28;Qatar;Dieciseisavos;4;2;43
29;Ghana;Dieciseisavos;4;1;55
30;New Zealand;Dieciseisavos;4;2;58
31;South Africa;Dieciseisavos;3;0;50
32;Haiti;Dieciseisavos;3;-2;57
33;England;Fase de Grupos;3;-3;4
34;Paraguay;Fase de Grupos;3;-5;31
35;Scotland;Fase de Grupos;3;-2;46
36;Portugal;Fase de Grupos;2;-2;5
37;Sweden;Fase de Grupos;2;-1;28
38;France;Fase de Grupos;1;-4;1
39;Spain;Fase de Grupos;1;-3;2
40;Netherlands;Fase de Grupos;1;-3;7
41;Mexico;Fase de Grupos;1;-2;15
42;Iran;Fase de Grupos;1;-5;18
43;Turkey;Fase de Grupos;1;-4;26
44;Bosnia and Herzegovina;Fase de Grupos;1;-3;52
45;Iraq;Fase de Grupos;1;-2;53
46;DR Congo;Fase de Grupos;1;-4;56
47;Serbia;Fase de Grupos;0;-4;27
48;Jordan;Fase de Grupos;0;-6;54
